ballot_id,position_x,vote_type,party_code,candidate_code,qty_vote,state_code,council_name,file_name,zone,section_cd,position_y
3195000340304,presidente,nominal,13.0,13.0,17,SE,NOSSA SENHORA DO SOCORRO,o00407-3195000340304.bu,34,304,1
9881700330255,presidente,nominal,13.0,13.0,116,MT,PEIXOTO DE AZEVEDO,o00407-9881700330255.bu,33,255,1
9028000280158,presidente,nominal,13.0,13.0,383,MT,CONFRESA,o00407-9028000280158.bu,28,158,1
9885000280191,presidente,nominal,13.0,13.0,55,MT,PORTO ALEGRE DO NORTE,o00407-9885000280191.bu,28,191,1
9197900160086,presidente,nominal,13.0,13.0,248,MT,SANTA TEREZINHA,o00407-9197900160086.bu,16,86,1
9865500260189,presidente,nominal,13.0,13.0,265,MT,CAMPINÁPOLIS,o00407-9865500260189.bu,26,189,1
9365300150072,presidente,nominal,13.0,13.0,97,TO,FORMOSO DO ARAGUAIA,o00407-9365300150072.bu,15,72,1
2950500010078,presidente,nominal,22.0,22.0,5,ZZ,CARACAS,o00407-2950500010078.bu,1,78,1
2950500010079,presidente,nominal,22.0,22.0,1,ZZ,CARACAS,o00407-2950500010079.bu,1,79,1
4131900040152,presidente,nominal,13.0,13.0,207,MG,BERTÓPOLIS,o00407-4131900040152.bu,4,152,1
4131900040178,presidente,nominal,13.0,13.0,165,MG,BERTÓPOLIS,o00407-4131900040178.bu,4,178,1
4905001960171,presidente,nominal,13.0,13.0,68,MG,NOVO CRUZEIRO,o00407-4905001960171.bu,196,171,1
4275701130042,presidente,nominal,13.0,13.0,82,MG,CARMÉSIA,o00407-4275701130042.bu,113,42,1
5043102260219,presidente,nominal,13.0,13.0,28,MG,PORTEIRINHA,o00407-5043102260219.bu,226,219,1
4703101480276,presidente,nominal,13.0,13.0,115,MG,JANUÁRIA,o00407-4703101480276.bu,148,276,1
4703101480291,presidente,nominal,13.0,13.0,75,MG,JANUÁRIA,o00407-4703101480291.bu,148,291,1
4032001720183,presidente,nominal,13.0,13.0,21,MG,JUATUBA,o00407-4032001720183.bu,172,183,1
5221302520211,presidente,nominal,13.0,13.0,79,MG,SÃO FRANCISCO,o00407-5221302520211.bu,252,211,1
211900260063,presidente,nominal,13.0,13.0,237,AM,BARREIRINHA,o00407-0211900260063.bu,26,63,1
9847700360098,presidente,nominal,13.0,13.0,146,AM,TABATINGA,o00407-9847700360098.bu,36,98,1
9847700360100,presidente,nominal,13.0,13.0,132,AM,TABATINGA,o00407-9847700360100.bu,36,100,1
221600210096,presidente,nominal,13.0,13.0,91,AM,CARAUARI,o00407-0221600210096.bu,21,96,1
273900470010,presidente,nominal,13.0,13.0,303,AM,SANTO ANTÔNIO DO IÇÁ,o00407-0273900470010.bu,47,10,1
239900450052,presidente,nominal,13.0,13.0,94,AM,IPIXUNA,o00407-0239900450052.bu,45,52,1
237200300022,presidente,nominal,13.0,13.0,196,AM,SANTA ISABEL DO RIO NEGRO,o00407-0237200300022.bu,30,22,1
237200300026,presidente,nominal,13.0,13.0,156,AM,SANTA ISABEL DO RIO NEGRO,o00407-0237200300026.bu,30,26,1
205400420025,presidente,nominal,13.0,13.0,138,AM,ATALAIA DO NORTE,o00407-0205400420025.bu,42,25,1
205400420028,presidente,nominal,13.0,13.0,127,AM,ATALAIA DO NORTE,o00407-0205400420028.bu,42,28,1
205400420029,presidente,nominal,13.0,13.0,175,AM,ATALAIA DO NORTE,o00407-0205400420029.bu,42,29,1
205400420037,presidente,nominal,13.0,13.0,107,AM,ATALAIA DO NORTE,o00407-0205400420037.bu,42,37,1
241000030158,presidente,nominal,13.0,13.0,37,AM,ITACOATIARA,o00407-0241000030158.bu,3,158,1
275500220044,presidente,nominal,13.0,13.0,277,AM,SÃO PAULO DE OLIVENÇA,o00407-0275500220044.bu,22,44,1
275500220080,presidente,nominal,13.0,13.0,347,AM,SÃO PAULO DE OLIVENÇA,o00407-0275500220080.bu,22,80,1
275500220086,presidente,nominal,13.0,13.0,350,AM,SÃO PAULO DE OLIVENÇA,o00407-0275500220086.bu,22,86,1
283600190013,presidente,nominal,13.0,13.0,239,AM,SÃO GABRIEL DA CACHOEIRA,o00407-0283600190013.bu,19,13,1
283600190025,presidente,nominal,13.0,13.0,207,AM,SÃO GABRIEL DA CACHOEIRA,o00407-0283600190025.bu,19,25,1
283600190048,presidente,nominal,13.0,13.0,166,AM,SÃO GABRIEL DA CACHOEIRA,o00407-0283600190048.bu,19,48,1
283600190059,presidente,nominal,13.0,13.0,135,AM,SÃO GABRIEL DA CACHOEIRA,o00407-0283600190059.bu,19,59,1
283600190065,presidente,nominal,13.0,13.0,204,AM,SÃO GABRIEL DA CACHOEIRA,o00407-0283600190065.bu,19,65,1
283600190087,presidente,nominal,13.0,13.0,162,AM,SÃO GABRIEL DA CACHOEIRA,o00407-0283600190087.bu,19,87,1
283600190092,presidente,nominal,13.0,13.0,195,AM,SÃO GABRIEL DA CACHOEIRA,o00407-0283600190092.bu,19,92,1
8785801280492,presidente,nominal,13.0,13.0,37,RS,PASSO FUNDO,o00407-8785801280492.bu,128,492,1
8656801000015,presidente,nominal,22.0,22.0,79,RS,CHARRUA,o00407-8656801000015.bu,100,15,1
8656801000126,presidente,nominal,13.0,13.0,302,RS,CHARRUA,o00407-8656801000126.bu,100,126,1
104000040326,presidente,nominal,13.0,13.0,153,AC,MARECHAL THAUMATURGO,o00407-0104000040326.bu,4,326,1
104000040384,presidente,nominal,13.0,13.0,101,AC,MARECHAL THAUMATURGO,o00407-0104000040384.bu,4,384,1
6789003150336,presidente,nominal,13.0,13.0,89,SP,OSASCO,o00407-6789003150336.bu,315,336,1
6425402910341,presidente,nominal,13.0,13.0,14,SP,FRANCA,o00407-6425402910341.bu,291,341,1
6689302170353,presidente,nominal,13.0,13.0,32,SP,MAUÁ,o00407-6689302170353.bu,217,353,1
6477701850372,presidente,nominal,13.0,13.0,10,SP,GUARULHOS,o00407-6477701850372.bu,185,372,1
1024300130242,presidente,nominal,13.0,13.0,119,PI,CORONEL JOSÉ DIAS,o00407-1024300130242.bu,13,242,1
1050200950050,presidente,nominal,13.0,13.0,117,PI,SÃO BRAZ DO PIAUÍ,o00407-1050200950050.bu,95,50,1
1087100350063,presidente,nominal,13.0,13.0,87,PI,GILBUÉS,o00407-1087100350063.bu,35,63,1
1167300110184,presidente,nominal,13.0,13.0,85,PI,PIRIPIRI,o00407-1167300110184.bu,11,184,1
1139800050356,presidente,nominal,13.0,13.0,34,PI,OEIRAS,o00407-1139800050356.bu,5,356,1
1203300640073,presidente,nominal,13.0,13.0,98,PI,SÃO JOSÉ DO PIAUÍ,o00407-1203300640073.bu,64,73,1
1219000970150,presidente,nominal,13.0,13.0,21,PI,TERESINA,o00407-1219000970150.bu,97,150,1
7727501670096,presidente,nominal,13.0,13.0,223,PR,ORTIGUEIRA,o00407-7727501670096.bu,167,96,1
493600370120,presidente,nominal,13.0,13.0,49,PA,MOJU,o00407-0493600370120.bu,37,120,1
505300380260,presidente,nominal,13.0,13.0,111,PA,ORIXIMINÁ,o00407-0505300380260.bu,38,260,1
477401050092,presidente,nominal,13.0,13.0,29,PA,JURUTI,o00407-0477401050092.bu,105,92,1
545200530218,presidente,nominal,13.0,13.0,194,PA,SÃO FÉLIX DO XINGU,o00407-0545200530218.bu,53,218,1
414600410198,presidente,nominal,13.0,13.0,82,PA,SANTA LUZIA DO PARÁ,o00407-0414600410198.bu,41,198,1
472300800254,presidente,nominal,13.0,13.0,157,PA,ANAPU,o00407-0472300800254.bu,80,254,1
435900150289,presidente,nominal,13.0,13.0,29,PA,BREVES,o00407-0435900150289.bu,15,289,1
543600500181,presidente,nominal,13.0,13.0,103,PA,SÃO DOMINGOS DO CAPIM,o00407-0543600500181.bu,50,181,1
449900170041,presidente,nominal,22.0,22.0,39,PA,CHAVES,o00407-0449900170041.bu,17,41,1
9180400490068,presidente,nominal,13.0,13.0,206,MS,DOIS IRMÃOS DO BURITI,o00407-9180400490068.bu,49,68,1
1310200990141,presidente,nominal,13.0,13.0,116,CE,QUITERIANÓPOLIS,o00407-1310200990141.bu,99,141,1
1565200610102,presidente,nominal,13.0,13.0,81,CE,TAMBORIL,o00407-1565200610102.bu,61,102,1
1529600110186,presidente,nominal,13.0,13.0,103,CE,QUIXERAMOBIM,o00407-1529600110186.bu,11,186,1
1521000400163,presidente,nominal,13.0,13.0,69,CE,PORANGA,o00407-1521000400163.bu,40,163,1
1543100530050,presidente,nominal,13.0,13.0,159,CE,SANTANA DO CARIRI,o00407-1543100530050.bu,53,50,1
1447801190267,presidente,nominal,13.0,13.0,22,CE,JUAZEIRO DO NORTE,o00407-1447801190267.bu,119,267,1
1511300590112,presidente,nominal,13.0,13.0,95,CE,PEDRA BRANCA,o00407-1511300590112.bu,59,112,1
1511300590114,presidente,nominal,13.0,13.0,73,CE,PEDRA BRANCA,o00407-1511300590114.bu,59,114,1
8094200110166,presidente,nominal,13.0,13.0,28,SC,SÃO CRISTÓVÃO DO SUL,o00407-8094200110166.bu,11,166,1
3563701040241,presidente,nominal,13.0,13.0,55,BA,IBITITÁ,o00407-3563701040241.bu,104,241,1
3849000050800,presidente,nominal,13.0,13.0,80,BA,SALVADOR,o00407-3849000050800.bu,5,800,1
3897000880181,presidente,nominal,13.0,13.0,141,BA,SEABRA,o00407-3897000880181.bu,88,181,1
3994200880304,presidente,nominal,13.0,13.0,72,BA,NOVO HORIZONTE,o00407-3994200880304.bu,88,304,1
3389800940028,presidente,nominal,13.0,13.0,35,BA,BROTAS DE MACAÚBAS,o00407-3389800940028.bu,94,28,1
3341301230137,presidente,nominal,13.0,13.0,87,BA,ARACI,o00407-3341301230137.bu,123,137,1
3773701110208,presidente,nominal,13.0,13.0,60,BA,PARAMIRIM,o00407-3773701110208.bu,111,208,1
3789301950037,presidente,nominal,13.0,13.0,33,BA,PILÃO ARCADO,o00407-3789301950037.bu,195,37,1
3789301950068,presidente,nominal,13.0,13.0,87,BA,PILÃO ARCADO,o00407-3789301950068.bu,195,68,1
3789301950076,presidente,nominal,13.0,13.0,65,BA,PILÃO ARCADO,o00407-3789301950076.bu,195,76,1
3789301950132,presidente,nominal,13.0,13.0,173,BA,PILÃO ARCADO,o00407-3789301950132.bu,195,132,1
3443600660134,presidente,nominal,13.0,13.0,104,BA,CASA NOVA,o00407-3443600660134.bu,66,134,1
3515701550800,presidente,nominal,13.0,13.0,19,BA,FEIRA DE SANTANA,o00407-3515701550800.bu,155,800,1
3381200650247,presidente,nominal,13.0,13.0,117,BA,BOQUIRA,o00407-3381200650247.bu,65,247,1
3381200650255,presidente,nominal,13.0,13.0,60,BA,BOQUIRA,o00407-3381200650255.bu,65,255,1
3381200650344,presidente,nominal,13.0,13.0,99,BA,BOQUIRA,o00407-3381200650344.bu,65,344,1
3381200650345,presidente,nominal,13.0,13.0,52,BA,BOQUIRA,o00407-3381200650345.bu,65,345,1
3423101740111,presidente,nominal,13.0,13.0,141,BA,CANARANA,o00407-3423101740111.bu,174,111,1
3671401590057,presidente,nominal,13.0,13.0,73,BA,JUSSARA,o00407-3671401590057.bu,159,57,1
806001060054,presidente,nominal,13.0,13.0,204,MA,PEDRO DO ROSÁRIO,o00407-0806001060054.bu,106,54,1
860500830148,presidente,nominal,13.0,13.0,70,MA,TURILÂNDIA,o00407-0860500830148.bu,83,148,1
860500830159,presidente,nominal,13.0,13.0,90,MA,TURILÂNDIA,o00407-0860500830159.bu,83,159,1
863000450063,presidente,nominal,13.0,13.0,119,MA,PENALVA,o00407-0863000450063.bu,45,63,1
733100560175,presidente,nominal,13.0,13.0,87,MA,BARREIRINHAS,o00407-0733100560175.bu,56,175,1
733100560239,presidente,nominal,13.0,13.0,51,MA,BARREIRINHAS,o00407-0733100560239.bu,56,239,1
797800320055,presidente,nominal,13.0,13.0,39,MA,HUMBERTO DE CAMPOS,o00407-0797800320055.bu,32,55,1
815000740295,presidente,nominal,13.0,13.0,66,MA,LAGO DO JUNCO,o00407-0815000740295.bu,74,295,1
907500380167,presidente,nominal,13.0,13.0,87,MA,SÃO BENTO,o00407-0907500380167.bu,38,167,1
700500120174,presidente,nominal,13.0,13.0,73,MA,ÁGUA DOCE DO MARANHÃO,o00407-0700500120174.bu,12,174,1
711000990127,presidente,nominal,13.0,13.0,73,MA,AMARANTE DO MARANHÃO,o00407-0711000990127.bu,99,127,1
792701010078,presidente,nominal,13.0,13.0,307,MA,MARANHÃOZINHO,o00407-0792701010078.bu,101,78,1
725001070038,presidente,nominal,13.0,13.0,106,MA,BACURI,o00407-0725001070038.bu,107,38,1
731500230019,presidente,nominal,13.0,13.0,74,MA,BARRA DO CORDA,o00407-0731500230019.bu,23,19,1
755200550069,presidente,nominal,13.0,13.0,53,MA,CARUTAPERA,o00407-0755200550069.bu,55,69,1
799400310168,presidente,nominal,13.0,13.0,91,MA,ICATU,o00407-0799400310168.bu,31,168,1
799400310197,presidente,nominal,13.0,13.0,44,MA,ICATU,o00407-0799400310197.bu,31,197,1
814101060224,presidente,nominal,13.0,13.0,130,MA,PRESIDENTE SARNEY,o00407-0814101060224.bu,106,224,1
852401070087,presidente,nominal,13.0,13.0,60,MA,SERRANO DO MARANHÃO,o00407-0852401070087.bu,107,87,1
852401070089,presidente,nominal,13.0,13.0,68,MA,SERRANO DO MARANHÃO,o00407-0852401070089.bu,107,89,1
852401070156,presidente,nominal,13.0,13.0,61,MA,SERRANO DO MARANHÃO,o00407-0852401070156.bu,107,156,1
855900360069,presidente,nominal,13.0,13.0,80,MA,PARNARAMA,o00407-0855900360069.bu,36,69,1
885000320072,presidente,nominal,13.0,13.0,93,MA,PRIMEIRA CRUZ,o00407-0885000320072.bu,32,72,1
885000320089,presidente,nominal,13.0,13.0,92,MA,PRIMEIRA CRUZ,o00407-0885000320089.bu,32,89,1
885000320090,presidente,nominal,13.0,13.0,42,MA,PRIMEIRA CRUZ,o00407-0885000320090.bu,32,90,1
885000320202,presidente,nominal,13.0,13.0,60,MA,PRIMEIRA CRUZ,o00407-0885000320202.bu,32,202,1
771400140175,presidente,nominal,13.0,13.0,56,MA,CURURUPU,o00407-0771400140175.bu,14,175,1
771400140193,presidente,nominal,13.0,13.0,19,MA,CURURUPU,o00407-0771400140193.bu,14,193,1
807900160337,presidente,nominal,13.0,13.0,89,MA,ITAPECURU MIRIM,o00407-0807900160337.bu,16,337,1
822200510175,presidente,nominal,13.0,13.0,40,MA,SANTANA DO MARANHÃO,o00407-0822200510175.bu,51,175,1
839701030028,presidente,nominal,13.0,13.0,260,MA,MONTES ALTOS,o00407-0839701030028.bu,103,28,1
839701030080,presidente,nominal,13.0,13.0,264,MA,MONTES ALTOS,o00407-0839701030080.bu,103,80,1
883400500151,presidente,nominal,13.0,13.0,121,MA,PRESIDENTE VARGAS,o00407-0883400500151.bu,50,151,1
941500390058,presidente,nominal,13.0,13.0,148,MA,TURIAÇU,o00407-0941500390058.bu,39,58,1
754400970185,presidente,nominal,13.0,13.0,283,MA,FERNANDO FALCÃO,o00407-0754400970185.bu,97,185,1
754400970205,presidente,nominal,13.0,13.0,310,MA,FERNANDO FALCÃO,o00407-0754400970205.bu,97,205,1
754400970207,presidente,nominal,13.0,13.0,69,MA,FERNANDO FALCÃO,o00407-0754400970207.bu,97,207,1
770600150314,presidente,nominal,13.0,13.0,277,MA,ITAIPAVA DO GRAJAÚ,o00407-0770600150314.bu,15,314,1
824900320133,presidente,nominal,13.0,13.0,83,MA,SANTO AMARO DO MARANHÃO,o00407-0824900320133.bu,32,133,1
824900320138,presidente,nominal,13.0,13.0,98,MA,SANTO AMARO DO MARANHÃO,o00407-0824900320138.bu,32,138,1
824900320170,presidente,nominal,13.0,13.0,103,MA,SANTO AMARO DO MARANHÃO,o00407-0824900320170.bu,32,170,1
905900730067,presidente,nominal,13.0,13.0,213,MA,SÃO BENEDITO DO RIO PRETO,o00407-0905900730067.bu,73,67,1
905900730098,presidente,nominal,13.0,13.0,107,MA,SÃO BENEDITO DO RIO PRETO,o00407-0905900730098.bu,73,98,1
905900730163,presidente,nominal,13.0,13.0,86,MA,SÃO BENEDITO DO RIO PRETO,o00407-0905900730163.bu,73,163,1
739000240253,presidente,nominal,13.0,13.0,61,MA,BREJO,o00407-0739000240253.bu,24,253,1
795100300074,presidente,nominal,13.0,13.0,101,MA,GUIMARÃES,o00407-0795100300074.bu,30,74,1
897400700186,presidente,nominal,13.0,13.0,56,MA,SANTA LUZIA,o00407-0897400700186.bu,70,186,1
310700070063,presidente,nominal,13.0,13.0,176,RR,UIRAMUTÃ,o00407-0310700070063.bu,7,63,1
311500050627,presidente,nominal,13.0,13.0,55,RR,NORMANDIA,o00407-0311500050627.bu,5,627,1
